Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,0.1 uF,
"C10, C9",0402,2,1uF,
"C11, C12, C17, C2, C3, C4, C5, C6, C7, C8",0402,10,0.1uF,
"C13, C16",0402,2,15pF,
"C14, C15",0603,2,10uF,
D1,01005,1,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x20_P2.54mm_Vertical,1,~,
J3,PinHeader_1x20_P2.54mm_Vertical,1,Conn_01x20_Pin,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"R1, R2",0402,2,5.1k,
"R12, R5, R7",0402,3,1K,
"R3, R4",0402,2,27,
R6,0402,1,10K,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,
U3,SOT-89-3,1,MCP1700x-120xxMB,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
